episode,reward,steps,success,collision,out_of_altitude,final_distance,epsilon,mean_loss
55,125.03584553833092,53,1,0,0,1.6813738196009964,0.8740870000000001,0.8075800924649779
56,-94.05379240543854,176,0,1,0,8.15128726534754,0.870743,0.4818425264622254
57,-95.69407111780505,193,0,1,0,8.546423622313919,0.867076,0.7461843037968163
58,122.38622112833175,96,1,0,0,1.9313123330281012,0.865252,0.58150350189923
59,121.98311752731664,102,1,0,0,1.98286741227673,0.863314,0.6903077924587563
60,-105.47398192383694,158,0,1,0,14.311300045158358,0.860312,0.5437244547861098
61,14.159567296186856,70,0,0,1,4.194658266946403,0.858982,0.6229215030026223
62,-100.26236379737323,156,0,1,0,11.75560807462165,0.856018,0.6641186361308568
63,124.54544582986551,65,1,0,0,1.6265765390273308,0.8547830000000001,0.522690936894371
64,-93.24733828314264,166,0,1,0,7.9980620104907345,0.851629,0.47867808958335994
65,-90.67496207814636,127,0,1,0,7.686780493033263,0.849216,0.6779791191000286
66,-5.040646299328634,200,0,0,0,13.044619738430747,0.845416,0.6324709915276617
67,-96.68014260217349,188,0,1,0,9.16437075504682,0.841844,0.6531458549954473
68,-95.59612030130545,156,0,1,0,9.42235960461279,0.8388800000000001,0.5229694760309007
69,124.81939352683486,48,1,0,0,1.9146026905426738,0.837968,0.7566022708779201
70,124.21610691494922,61,1,0,0,1.8913346059367997,0.836809,0.5023136933441045
71,9.73915867322671,200,0,0,0,5.654717252153067,0.833009,0.651460494287312
72,-90.21695944806955,104,0,1,0,8.032779177994868,0.831033,0.4320888886801325
73,-105.36950163650368,145,0,1,0,14.584143687171268,0.8282780000000001,0.4332097736797456
74,124.75565163370331,47,1,0,0,1.9715670520677837,0.827385,0.7199659662598625
75,5.669571824942602,95,0,0,1,7.814606956448129,0.82558,0.743082011236172
76,15.968718588539508,53,0,0,1,3.715051482158869,0.824573,0.7543431190457547
77,-92.86281699599716,109,0,1,0,9.230796561409976,0.8225020000000001,0.5876047025784987
78,-98.66490038395413,182,0,1,0,10.306824133369565,0.819044,0.6166274299394789
