episode,global_step,reward,steps,success,collision,out_of_altitude,final_distance,epsilon,mean_loss
44,3685,-82.36246338162685,33,0,1,0,22.91018865537845,0.9299850000000001,1.3154654436829416
45,3737,-87.80566071006048,52,0,1,0,25.156787907708527,0.928997,0.9157227944546881
46,3785,-82.59785414504839,48,0,1,0,22.652884206173262,0.928085,1.1719415754390259
47,3916,-75.20325652454522,131,0,0,1,16.880585395921656,0.925596,1.0541885264274728
48,4066,36.36158770921184,150,0,0,0,10.623163249736338,0.922746,1.274634251423801
49,4216,22.32031375491952,150,0,0,0,17.643800256189266,0.919896,0.9573837800510228
50,4269,-86.48005248788064,53,0,1,0,24.468983377589385,0.9188890000000001,1.1944690801132962
51,4324,-87.02438735684933,55,0,1,0,24.691150951869265,0.917844,0.9218742806295103
52,4432,-73.4732364363713,108,0,1,0,16.59057521094231,0.915792,1.1195064280440823
53,4582,37.67147052709282,150,0,0,0,9.968221730103139,0.912942,0.8957359556791683
54,4642,-86.5069135156502,60,0,1,0,24.307414031269687,0.911802,0.644148453650996
55,4702,-82.91160114674466,60,0,1,0,22.50975826525277,0.910662,0.9614829904555032
56,4739,-83.02985303000715,37,0,1,0,23.143883508653115,0.909959,0.9452623946441187
57,4756,-99.43163077823296,17,0,0,1,31.844772522765545,0.909636,1.1274918662384152
58,4906,42.65846631046306,150,0,0,0,7.474723838418053,0.906786,0.9554086750745774
59,5056,43.49971676252628,150,0,0,0,7.054099171415143,0.903936,0.8074127446642766
60,5159,-65.12934664534441,103,0,0,1,12.543630566589698,0.901979,0.8497700000778564
61,5309,38.68146368327349,150,0,0,0,9.46322543180784,0.8991290000000001,0.9863329295193156
62,5459,31.781675243474417,150,0,0,0,12.913119651707362,0.896279,0.9823221978110571
63,5541,-74.98455602717739,82,0,1,0,17.996235147237748,0.894721,0.8283534094963859
64,5573,-86.25857350336642,32,0,0,1,24.883244025127812,0.894113,1.2616230835556053
65,5723,33.38299614590522,150,0,0,0,12.112459060696452,0.891263,0.8530286022399862
66,5781,-85.49948033710082,58,0,1,0,23.853697162199946,0.890161,0.8948576333852292
67,5840,-73.35300988566624,59,0,1,0,17.75546207648218,0.88904,0.8182838736575538
68,5925,-73.42077537853248,85,0,1,0,17.139344822915298,0.887425,0.8649067928685862
69,6075,37.91454980050245,150,0,0,0,9.846682791629206,0.884575,0.8256332400627434
70,6159,-86.92480503035799,84,0,1,0,23.916359788623595,0.882979,0.85940540415634
71,6200,-87.68530530528407,41,0,1,0,25.3716097862911,0.8822,0.8681877748813571
72,6280,-74.91880630886769,80,0,1,0,18.013360288082897,0.88068,0.8378586384002119
73,6407,-62.608440075364754,127,0,0,1,10.68317717133143,0.878267,1.0938876159489155
