episode,step,action,action_name,reward,cumulative_reward,distance_to_target,x,y,z,success,collision,out_of_altitude,timeout
1,22,2,right,0.9169954235605438,20.30806184329995,11.44095012876276,96.26541137695312,-12.096549034118652,-3.0866496562957764,0,0,0,0
1,23,5,hover,0.4593298328348901,20.76739167613484,11.17700256378193,96.49063873291016,-11.68067455291748,-3.07426118850708,0,0,0,0
1,24,0,forward,0.45524976868365813,21.222641444818496,10.910779952618201,96.74337005615234,-11.47893238067627,-3.1087818145751953,0,0,0,0
1,25,1,left,0.6452919232759704,21.867933368094466,10.53827176115615,97.123046875,-11.559253692626953,-3.1988978385925293,0,0,0,0
1,26,0,forward,0.5665444653502518,22.434477833444717,10.204722509933966,97.4837417602539,-11.865438461303711,-3.202216148376465,0,0,0,0
1,27,1,left,0.6563460132609797,23.090823846705696,9.822774109340616,97.90851593017578,-12.185161590576172,-3.230203151702881,0,0,0,0
1,28,0,forward,0.5171302013413637,23.60795404804706,9.508747458911023,98.29307556152344,-12.59851360321045,-3.243692398071289,0,0,0,0
1,29,5,hover,0.643278013709417,24.251232061756475,9.132870764468576,98.71660614013672,-12.79568099975586,-3.2339015007019043,0,0,0,0
1,30,0,forward,0.5146824762957081,24.765914538052183,8.820802693215635,99.0555648803711,-12.877509117126465,-3.2378146648406982,0,0,0,0
1,31,0,forward,0.9991569362108812,25.765071474263063,8.269086468762538,99.63178253173828,-12.910614967346191,-3.21710205078125,0,0,0,0
1,32,1,left,0.8697337728238519,26.634805247086916,7.771098031075359,100.20254516601562,-13.090459823608398,-3.3049724102020264,0,0,0,0
1,33,0,forward,0.46848278725435466,27.103288034341272,7.47420217797171,100.63086700439453,-13.426656723022461,-3.3009796142578125,0,0,0,0
1,34,2,right,-99.97547951841771,-72.87219148407644,7.386142448159265,100.72726440429688,-13.425240516662598,-3.40639591217041,0,1,0,0
2,1,2,right,0.006844055313831629,0.006844055313831629,22.640314833770216,85.41300201416016,-15.173995018005371,-3.0219192504882812,0,0,0,0
2,2,5,hover,0.068929893686186,0.07577394900001763,22.57908707955789,85.41300201416016,-14.84172248840332,-2.9858975410461426,0,0,0,0
2,3,2,right,0.05583252845979274,0.13160647745981036,22.52528929243409,85.41300201416016,-14.52593994140625,-2.992947816848755,0,0,0,0
2,4,0,forward,0.3717931912602211,0.5033996687200315,22.306999277061394,85.57099151611328,-14.109806060791016,-3.059147357940674,0,0,0,0
2,5,0,forward,0.9310144300119958,1.4344140987320273,21.808187764131354,86.04112243652344,-13.89111328125,-3.066434383392334,0,0,0,0
2,6,0,forward,1.2776764116189738,2.7120905103510013,21.13959733959857,86.70237731933594,-13.792667388916016,-3.038017749786377,0,0,0,0
2,7,0,forward,1.4420876643101976,4.154178174661199,20.39352564227204,87.44999694824219,-13.750872611999512,-3.00022292137146,0,0,0,0
2,8,2,right,1.1869954589262448,5.341173633587444,19.761591297341845,88.0656509399414,-13.589637756347656,-3.1074929237365723,0,0,0,0
2,9,0,forward,1.0141867732058614,6.355360406793306,19.21751162529084,88.56689453125,-13.231751441955566,-3.0958902835845947,0,0,0,0
2,10,5,hover,0.9355976897563536,7.29095809654966,18.71309959023856,89.05291748046875,-13.050545692443848,-3.0929055213928223,0,0,0,0
2,11,0,forward,0.7400570833341475,8.031015179883807,18.307155858590026,89.45268249511719,-12.97452449798584,-3.0873215198516846,0,0,0,0
2,12,0,forward,1.116625954612229,9.147641134496036,17.716216556391867,90.0445556640625,-12.948389053344727,-3.0610105991363525,0,0,0,0
